Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Goran,Dragic",Mia,29,72,32.8,165,14.1,3.8,0.99,0.24
"Gordon,Hayward",Uta,25,80,36.2,477,19.7,5,1.19,0.34
"Gorgui,Dieng",Min,26,82,27.1,248,10.1,7.1,1.15,1.17
"Greg,Monroe",Mil,25,79,29.3,308,15.3,8.8,0.91,0.85
"Greg,Smith",Min,25,18,10.7,17,2.4,2.3,0.22,0.06
"Greivis,Vasquez",Mil,29,23,20,26,5.7,2,0.43,0
"Harrison,Barnes",Gol,23,66,30.9,134,11.7,4.9,0.62,0.15
"Hassan,Whiteside",Mia,26,73,29.1,329,14.2,11.8,0.6,3.68
"Henry,Sims",Bro,25,14,18.8,30,6.5,5.1,0.64,0.93
"Hollis,Thompson",Phi,24,77,28,96,9.8,3.5,0.47,0.31
"Ian,Clark",Gol,24,66,8.8,34,3.6,1,0.26,0.2
"Ian,Mahinmi",Ind,29,71,25.6,225,9.3,7.1,0.92,1.06
"Iman,Shumpert",Cle,25,54,24.4,51,5.8,3.8,1,0.35
"Isaiah,Canaan",Phi,24,77,25.5,180,11,2.3,0.73,0.16
"Isaiah,Thomas",Bos,26,82,32.2,544,22.2,3,1.11,0.11
"Ish,Smith",Nor,27,27,22.9,43,8.9,3.4,0.89,0.22
"Ish,Smith",Phi,27,50,32.4,133,14.7,4.3,1.28,0.36
"J.R.,Smith",Cle,30,77,30.7,71,12.4,2.8,1.05,0.27
"Jabari,Parker",Mil,20,76,31.7,228,14.1,5.2,0.91,0.38
"Jae,Crowder",Bos,25,73,31.6,239,14.2,5.1,1.73,0.48
"Jahlil,Okafor",Phi,20,53,30,194,17.5,7,0.42,1.15
"JaKarr,Sampson",Phi,22,47,14.7,97,5.1,2.7,0.23,0.34
"JaKarr,Sampson",Den,22,26,18,25,5.2,2.3,0.46,0.65
"Jamal,Crawford",Lac,35,79,26.9,271,14.2,1.8,0.66,0.15
"Jameer,Nelson",Den,33,39,26.6,35,7.7,2.9,0.64,0.13
"James,Anderson",Sac,26,51,14.1,29,3.5,1.7,0.41,0.27
"James,Ennis",Nor,25,9,31.3,24,15.9,3.9,1.33,0.33
"James,Harden",Hou,26,82,38.1,837,29,6.1,1.68,0.62
"James,Johnson",Tor,28,57,16.2,68,5,2.2,0.51,0.58
"James,Jones",Cle,35,48,9.7,26,3.8,1,0.23,0.21
"James,Michael,McAdoo",Gol,23,41,6.4,49,2.9,1.4,0.24,0.2
"James,Young",Bos,20,29,6.9,4,1,0.9,0.21,0.03
"JaMychal,Green",Mem,25,78,18.5,137,7.4,4.8,0.59,0.42
"Jared,Cunningham",Cle,24,40,8.9,48,2.6,0.7,0.3,0.05
"Jared,Cunningham",Mil,24,4,13.8,7,4,2.3,0.5,0
"Jared,Dudley",Was,30,81,25.9,98,7.9,3.5,0.93,0.22
"Jared,Sullinger",Bos,23,81,23.6,161,10.3,8.3,0.93,0.58
"Jarell,Eddie",Was,24,26,5.6,8,2.4,0.9,0.19,0.04
"Jarell,Martin",Mem,21,27,14.1,62,5.7,3.2,0.3,0.26
"Jarrett,Jack",Bro,32,32,32.1,112,12.8,4.3,1.06,0.22
"Jason,Smith",Orl,29,76,15.5,67,7.2,2.9,0.43,0.86
"Jason,Terry",Hou,38,72,17.5,33,5.9,1.1,0.65,0.13
"Jason,Thompson",Gol,29,28,6.4,32,2.1,1.9,0.14,0.29
"Jason,Thompson",Tor,29,19,15.4,22,4.6,4.2,0.42,0.63
"JaVale,McGee",Dal,28,34,10.9,36,5.1,3.9,0.15,0.76
"Jeff,Ayres",Lac,28,17,6.3,6,1.8,1.3,0,0.18
"Jeff,Green",Mem,29,53,29.1,155,12.2,4.5,0.75,0.36
"Jeff,Green",Lac,29,27,26.3,65,10.9,3.4,0.67,0.78
"Jeff,Teague",Atl,27,79,28.5,312,15.7,2.7,1.23,0.3
"Jeff,Withey",Uta,25,51,12.9,59,4.3,3.4,0.41,1.04
"Jerami,Grant",Phi,21,77,26.8,322,9.7,4.7,0.7,1.65
"Jeremy,Evans",Dal,28,30,8.4,21,2.4,1.8,0.2,0.3
"Jeremy,Lamb",Cha,23,66,18.6,88,8.8,3.8,0.64,0.45
"Jeremy,Lin",Cha,27,78,26.3,292,11.7,3.2,0.76,0.54
"Jerian,Grant",Nyk,23,76,16.6,123,5.6,1.9,0.66,0.13
"Jerryd,Bayless",Mil,27,52,28.9,90,10.4,2.7,0.9,0.21
"Jimmy,Butler",Chi,26,67,36.9,475,20.9,5.4,1.64,0.64
"JJ,Hickson",Den,27,20,15.3,59,6.9,4.4,0.5,0.6
"JJ,Hickson",Was,27,15,8.8,44,4.6,3,0.33,0.13
"JJ,Redick",Lac,31,75,28,205,16.3,1.9,0.56,0.07
"Joakim,Noah",Chi,30,29,21.9,45,4.3,8.8,0.62,1
"Jodie,Meeks",Det,28,3,14.5,4,7.3,1.7,0,0
"Joe,Ingles",Uta,28,81,15.3,18,4.2,1.9,0.68,0.05
"Joe,Johnson",Bro,34,57,33.9,108,11.8,3.9,0.7,0.04
"Joe,Johnson",Mia,34,24,32.1,34,13.4,2.8,0.88,0.08
"Joe,Young",Ind,23,41,9.4,25,3.8,1.2,0.37,0
"Joel,Anthony",Det,33,19,5,8,0.9,1.1,0.11,0.63
"Joffrey,Lauvergne",Den,24,59,17.6,69,7.9,4.9,0.22,0.25
"John,Henson",Mil,25,57,16.8,117,7,3.9,0.32,1.91
"John,Jenkins",Dal,24,21,9.2,9,3.3,1,0.14,0
"John,Jenkins",Pho,24,22,13,15,5,1.6,0.23,0.05
"John,Wall",Was,25,77,36.2,344,19.9,4.9,1.88,0.77
"Johnny,O'Bryant",Mil,22,66,13,38,3,2.7,0.27,0.12
"Jon,Leuer",Pho,26,67,18.7,101,8.5,5.6,0.57,0.45
"Jonas,Jerebko",Bos,28,78,15.1,78,4.4,3.7,0.26,0.31
"Jonas,Valanciunas",Tor,23,60,25.9,213,12.8,9.1,0.42,1.33
"Jonathon,Simmons",San,26,55,14.8,92,6,1.7,0.44,0.09
"Jordan,Adams",Mem,21,2,7.4,5,3.5,1,1.5,0
"Jordan,Clarkson",Lal,23,79,32.3,204,15.5,4,1.11,0.09
"Jordan,Farmar",Mem,29,12,24.3,10,9.2,2.1,1.25,0.17
"Jordan,Hamilton",Nor,25,11,27.6,21,11.4,5.6,0.73,0.27
"Jordan,Hill",Ind,28,73,20.7,125,8.8,6.2,0.49,0.51
"Jordan,McRae",Pho,24,7,11.8,15,5.3,1.1,0.43,0
"Jordan,McRae",Cle,24,15,7.6,13,4.1,0.8,0,0.07
"Jorge,Gutierrez",Cha,27,12,5.3,11,1.8,0.6,0.25,0
"Jose,Calderon",Nyk,34,72,28.1,48,7.6,3.2,0.88,0.1
"Jose,Juan,Barea",Dal,31,74,22.5,96,10.9,2.1,0.35,0.03
"Josh,Huestis",Okc,24,5,11,4,2.8,2,0.2,0.4
"Josh,McRoberts",Mia,28,42,14.2,40,3.6,2.5,0.43,0.17
"Josh,Richardson",Mia,22,52,21.3,63,6.6,2.1,0.69,0.48
"Josh,Smith",Lac,30,32,14.3,42,5.7,3.9,0.56,1.06
"Josh,Smith",Hou,30,23,18.3,25,6.6,2.9,0.7,0.57
"Jrue,Holiday",Nor,25,65,28.2,216,16.8,3,1.35,0.34
"Julius,Randle",Lal,21,81,28.2,270,11.3,10.2,0.65,0.36
"Justin,Anderson",Dal,22,55,11.8,55,3.8,2.4,0.35,0.45
"Justin,Harper",Det,26,5,7,2,2.6,0.2,0.2,0
"Justin,Holiday",Atl,26,26,10.1,10,2.4,1,0.5,0.15
"Justin,Holiday",Chi,26,27,18.9,27,6.5,2.3,0.7,0.56
"Justise,Winslow",Mia,19,78,28.6,117,6.5,5.2,0.87,0.33
"Jusuf,Nurkic",Den,21,32,17.1,99,8.2,5.4,0.75,1.38
"Karl-Anthony,Towns",Min,20,82,32,275,18.3,10.4,0.71,1.68
"Kawhi,Leonard",San,24,72,33.1,334,21.2,6.8,1.78,0.99
"Keith,Appling",Orl,23,5,5.4,2,1.2,0.2,0.2,0
"Kelly,Olynyk",Bos,24,69,20.2,128,10,4.1,0.75,0.48
"Kelly,Oubre",Was,20,63,10.7,49,3.7,2.1,0.35,0.11
"Kemba,Walker",Cha,25,81,35.6,438,20.9,4.4,1.57,0.48
"Kendall,Marshall",Phi,24,30,13.3,13,3.7,0.9,0.53,0.07
"Kendrick,Perkins",Nor,31,37,14.6,25,2.5,3.5,0.3,0.3
"Kenneth,Faried",Den,26,67,25.3,222,12.5,8.7,0.48,0.9
"Kent,Bazemore",Atl,26,75,27.8,151,11.6,5.1,1.31,0.51
"Kentavious,Caldwell-Pope",Det,22,76,36.7,228,14.5,3.7,1.45,0.22
"Kevin,Durant",Okc,27,72,35.8,498,28.2,8.2,0.96,1.18
"Kevin,Garnett",Min,39,38,14.6,21,3.2,3.9,0.74,0.26
"Kevin,Love",Cle,27,77,31.5,314,16,9.9,0.75,0.53
"Kevin,Martin",Min,32,39,21.4,142,10.6,2.1,0.44,0.03
"Kevin,Martin",San,32,16,16.3,30,6.2,1.8,0.56,0.13
"Kevin,Seraphin",Nyk,26,48,11,23,3.9,2.6,0.17,0.75
"Khris,Middleton",Mil,24,79,36.1,312,18.2,3.8,1.66,0.24
"Kirk,Hinrich",Chi,35,35,15.9,16,3.8,1.7,0.37,0.03
"Kirk,Hinrich",Atl,35,11,6.9,0,0.5,1.1,0.18,0.09
"KJ,McDaniels",Hou,22,37,6.4,30,2.4,1.1,0.19,0.16
"Klay,Thompson",Gol,25,80,33.3,221,22.1,3.8,0.75,0.61
"Kobe,Bryant",Lal,37,66,28.2,281,17.6,3.7,0.94,0.2
"Kosta,Koufos",Sac,26,78,19,104,6.8,5.4,0.51,0.9
"Kostas,Papanikolaou",Den,25,26,11.3,14,2.6,1.5,0.5,0.19
"Kris,Humphries",Was,30,28,16.6,31,6.4,4.1,0.11,0.5
"Kris,Humphries",Pho,30,4,18.6,8,7.3,8,0.75,0.5
"Kris,Humphries",Atl,30,21,14.1,45,6.4,3.4,0.48,0.38
"Kristaps,Porzingis",Nyk,20,72,28.4,240,14.3,7.3,0.74,1.86
"Kyle,Anderson",San,22,78,16,83,4.5,3.1,0.77,0.37
"Kyle,Korver",Atl,34,80,30,54,9.2,3.2,0.76,0.43
"Kyle,Lowry",Tor,29,77,37,491,21.2,4.7,2.05,0.44
"Kyle,O'Quinn",Nyk,25,65,11.8,60,4.8,3.8,0.31,0.75
"Kyle,Singler",Okc,27,68,14.4,44,3.4,2.1,0.44,0.13
"Kyrie,Irving",Cle,23,53,31.5,191,19.6,2.9,1.06,0.34
"Lamar,Patterson",Atl,24,35,11.3,22,2.4,1.4,0.26,0.06
"LaMarcus,Aldridge",San,30,74,30.6,302,18,8.5,0.51,1.09
"Lance,Stephenson",Lac,25,43,15.8,30,4.7,2.5,0.56,0.07
"Lance,Stephenson",Mem,25,26,26.6,81,14.2,4.4,0.73,0.23
"Lance,Thomas",Nyk,27,59,22.3,119,8.2,2.2,0.37,0.12
"Langston,Galloway",Nyk,24,82,24.8,114,7.6,3.5,0.94,0.27
"Larry,Nance,Jr.",Lal,23,63,20.1,47,5.5,5,0.86,0.37
"Lavoy,Allen",Ind,26,79,20.2,73,5.4,5.4,0.33,0.53
"Leandro,Barbosa",Gol,33,68,15.9,62,6.4,1.7,0.65,0.15
"LeBron,James",Cle,31,76,35.6,491,25.3,7.4,1.37,0.64
"Lorenzo,Brown",Pho,25,8,7.6,4,2.5,0.9,0.38,0.13
"Lou,Amundson",Nyk,33,29,7,27,1.8,1.7,0.21,0.24
"Lou,Williams",Lal,29,67,28.5,424,15.3,2.5,0.93,0.28
"Luc,Mbah,a,Moute",Lac,29,75,17,57,3.1,2.3,0.59,0.25
"Lucas,Nogueira",Tor,23,29,7.7,15,2.2,1.6,0.41,0.41
"Luis,Scola",Tor,35,76,21.5,84,8.7,4.8,0.61,0.36
"Luke,Babbitt",Nor,26,47,18,50,7,3.1,0.23,0.15
"Luol,Deng",Mia,30,74,32.4,192,12.3,6,1,0.39
"Manu,Ginobili",San,38,58,19.6,112,9.6,2.5,1.14,0.19
"Marc,Gasol",Mem,31,52,34.4,245,16.6,7,0.96,1.35
"Marcelo,Huertas",Lal,32,53,16.4,29,4.5,1.7,0.49,0.13
"Marcin,Gortat",Was,31,75,30.1,207,13.5,9.9,0.63,1.28
"Marco,Belinelli",Sac,29,68,24.6,138,10.2,1.7,0.54,0.03
"Marcus,Morris",Det,26,80,35.7,271,14.1,5.1,0.84,0.29
"Marcus,Smart",Bos,21,61,27.3,166,9.1,4.2,1.49,0.3
"Marcus,Thornton",Hou,28,47,18.8,58,10,2.4,0.72,0.06
